Game,Price,Paid,Savings,Compatibility,
Art of Rally,€20.99,€13.64,€7.35,,
Biomutant,€59.99,€29.99,€30.00,,
Bugsnax,€21.99,€16.49,€5.50,,
Can't Drive This,€24.99,€16.24,€8.75,,
Chicory: A Colorful Tale,€19.99,€13.99,€6.00,,
ClusterTruck,€14.99,€4.49,€10.50,,
Enter The Gungeon,€14.99,€7.49,€7.50,,
Exit the Gungeon,€9.99,€6.99,€3.00,,
Final Fantasy VII Remake: Intergrade,€79.99,€45.59,€34.40,,
Ghostbusters,€29.99,€7.99,€22.00,,
Harvest Moon: A Wonderful Life,€14.99,€4.99,€10.00,,
Hotline Miami 2: Wrong Number,€14.99,€3.59,€11.40,PS3 and VITA,
Hue,€14.99,€4.99,€10.00,VITA,
Human Fall Flat,€14.99,€9.99,€5.00,,
Just Die Already,€13.99,€6.29,€7.70,,
Keep Talking and Nobody Explodes,€14.99,€7.49,€7.50,VR,
Little Nightmares,€19.99,€0.00,€19.99,,
Mass Effect: Legendary Edition,€69.99,€44.79,€25.20,,
Neon Chrome,€14.99,€4.49,€10.50,VITA,
Neon Drive,€9.99,€4.99,€5.00,,
Nickelodeon All-Star Brawl,€49.99,€0.00,€49.99,,
Please Don't Touch Anything,€9.99,€4.99,€5.00,,
Rustler,€29.99,€14.99,€15.00,,
Saban's Mighty Morphin Power Rangers: Mega Battle,€19.99,€3.99,€16.00,,
Scott Pilgrim vs The World: The Game,€14.99,€8.99,€6.00,,
Scribblenauts Mega Pack,€29.99,€9.99,€20.00,,
Shovel Knight: Treasure Trove,€24.99,€24.99,€0.00,PS3 and VITA,
Spelunky,€14.99,€0.00,€14.99,PS3 and VITA,
Stardew Valley,€14.99,€7.99,€7.00,VITA,
Subnautica: Below Zero,€29.99,€19.49,€10.50,,
Super Monkey Ball: Banana Blitz HD,€39.99,€19.99,€20.00,,
The Escapists,€17.99,€6.99,€11.00,,
The Pedestrian,€15.99,€10.39,€5.60,,
