Game,Console,Developer,Country
[Prototype],PS4,Radical Entertainment,Canada
[Prototype 2],PS4,Radical Entertainment,Canada
101 Ways To Die,PS4,Four Door Lemon,England
60 Seconds! Reatomized,PS4,Robot Gentleman,Poland
A Boy And His Blob,PS4,WayForward Technologies Inc,USA
Absolute Drift: Zen Edition,PS4,FlippFly,USA
Abzu,PS4,Giant Squid Studios,USA
Active Soccer 2 DX,PS4,The Fox Software,Italy
Amnesia: Collection,PS4,Frictional Games,Sweden
Amplitude,PS4,Harmonix Music Systems,USA
Another World,PS4,Delphine Software,France
Ape Escape 2,PS4,Team Asobi,Japan
ARK: Survival Evolved,PS4,Studio Wildcard,USA
Armello,PS4,League of Geeks,Australia
Armikrog,PS4,Pencil Test Studios,USA
Art Of Balance,PS4,Shin'en Multimedia,Germany
Assault Android Cactus,PS4,Witch Beam,Australia
Aven Colony,PS4,Mothership Entertainment,USA
Back To The Future TTG,PS4,Telltale Games,USA
Badland,PS4,Frogmind Games,Finland
Batman Season 1 TTG,PS4,Telltale Games,USA
Batman Season 2 TTG,PS4,Telltale Games,USA
Batman: Arkham Asylum,PS4,Rocksteady Studios,England
Batman: Arkham City,PS4,Rocksteady Studios,England
Batman: Arkham Knight,PS4,Rocksteady Studios,England
Battlefield 1: Revolution,PS4,DICE,Sweden
Bear With Me,PS4,Exordium Games,Croatia
Beat Cop,PS4,Pixel Crow,Poland
Beyond Eyes,PS4,Tiger & Squid,Netherlands
Beyond Two Souls,PS4,Quantic Dream,France
BioShock 1 & 2: The Collection,PS4,Blind Squirrel Games,USA
BioShock Infinite: The Collection,PS4,Blind Squirrel Games,USA
BLACKSAD: Under the Skin,PS4,Pendulo Studios,Spain
Blood Bowl 2,PS4,Cyanide,France
Bloodborne,PS4,FromSoftware,Japan
Borderlands: Game of the Year Edition,PS4,Gearbox Software,USA
Borderlands: The Handsome Collection,PS4,Gearbox Software,USA
Bridge Constructor,PS4,ClockStone Studios,Austria
Broforce,PS4,Free Lives,South Africa
Broken Age,PS4,Double Fine Productions,USA
Brothers: A Tale of Two Sons,PS4,Starbreeze Studios,Sweden
Bully (Canis Canem Edit),PS4,Rockstar Vancouver,Canada
Burnout Paradise: Remastered,PS4,Criterion Games,England
Call of Duty: Black Ops III,PS4,Treyarch,USA
Captain Tsubasa: Rise of New Champions,PS4,Tamsoft,Japan
Castle Crashers: Remastered,PS4,The Behemoth,USA
Castlevania Requiem: Symphony of the Night and Rondo of Blood,PS4,Konami,Japan
Catherine: Full Body,PS4,Atlus,Japan
Cel Damage HD,PS4,Finish Line Games,Canada
Celeste,PS4,Extremely OK Games,Canada
Child Of Light,PS4,Ubisoft Montreal,Canada
Chime Sharp,PS4,Chilled Mouse,England
Cities: Skylines,PS4,Colossal Order,Finland
Claire,PS4,Hailstorm Games,USA
ClusterTruck,PS4,Landfall Games,Sweden
Code Vein,PS4,Bandai Namco Studios,Japan
Color Slayer,PS4,The Domaginarium,El Salvador
Concrete Genie,PS4,Pixelopus,USA
Cosmophony,PS4,Bento Studio,France
CounterSpy,PS4,Dynamighty,USA
Crash Bandicoot: N Sane Trilogy (2017),PS4,Vicarious Visions,USA
Crash Team Racing: Nitro Fueled (2019),PS4,Beenox,Canada
Croixleur Sigma,PS4,souvenir circ,Japan
Curse of the Dead Gods,PS4,Passtech Games,France
Danger Zone,PS4,Three Fields Entertainment,England
Dangerous Driving,PS4,Three Fields Entertainment,England
Dangerous Golf,PS4,Three Fields Entertainment,England
Dark Chronicle,PS4,Level-5,Japan
Dark Cloud,PS4,Level-5,Japan
Dark Souls II: Scholar of the First Sin,PS4,FromSoftware,Japan
Dark Souls III,PS4,FromSoftware,Japan
Dark Souls Remastered,PS4,FromSoftware,Japan
Day Of The Tentacle Remastered,PS4,LucasArts,USA
Days Gone,PS4,Bend Studio,USA
Dead End Job,PS4,Ant Workshop,Scotland
Dead Island: Retro Revenge,PS4,Empty Clip Studios,USA
Dead or Alive 5: Last Round,PS4,Team Ninja,Japan
Dead Rising,PS4,Capcom,Japan
Deadpool,PS4,High Moon Studios,USA
Death Squared,PS4,SMG Studio,Australia
DEEEER Simulator: Your Average Everyday Deer Game,PS4,Gibier Games,Japan
Destroy All Humans! (2005),PS4,Pandemic Studios,USA
Destroy All Humans! 2 (2006),PS4,Pandemic Studios,USA
Destroy All Humans! (2020),PS4,Black Forest Games,Germany
Detroit: Become Human,PS4,Quantic Dream,France
Devil May Cry 4,PS4,Capcom,Japan
Devil May Cry 5,PS4,Capcom,Japan
Devil May Cry Trilogy HD Collection,PS4,Capcom,Japan
Dex,PS4,Dreadlocks Ltd,Czech Republic
