Game,Console,Developer,Country
Crazy Market,PSVITA,The Game Atelier,France
Deathmatch Village,PSVITA,Bloober Team,Poland
Fat Princess: Piece of Cake,PSVITA,One Loop Games,USA
Flame Over,PSVITA,Laughing Jackal Ltd,England
Football Manager Classic 2014,PSVITA,Sports Interactive,England
Get Off My Lawn!,PSVITA,Digital Leisure Inc,Canada
Gunslugs,PSVITA,Abstraction Games,Netherlands
Jet Set Radio,PSVITA,Sega,Japan
LEGO Batman 2: DC Super Heroes,PSVITA,TT Games,England
ModNation Racers: Road Trip,PSVITA,San Diego Studio,USA
No Heroes Allowed: No Puzzles Either!,PSVITA,ACQUIRE Corp,Japan
Paint Park,PSVITA,Sony Interactive Entertainment,Japan
Paint Park Plus,PSVITA,Sony Interactive Entertainment,Japan
PlayStation Vita Pets,PSVITA,Spiral House,England
Quell Memento,PSVITA,Fallen Tree Games,England
Rocketbirds: Hardboiled Chicken,PSVITA,Ratloop,USA
Silent Hill: Book of Memories,PSVITA,WayForward Technologies Inc,USA
Skeleton Rider,PSVITA,iSquared Games,England
Sly Cooper: Thieves in Time,PSVITA,Sanzaru Games,USA
Spy Hunter (2012),PSVITA,TT Games,England
Street Fighter X Tekken,PSVITA,Sucker Punch Productions,USA
SunFlowers,PSVITA,The Game Atelier,France
Surge Deluxe,PSVITA,FuturLab,England
Table Football,PSVITA,Sony Interactive Entertainment,Japan
Table Top Racing,PSVITA,Playrise Digital Ltd,England
TxK,PSVITA,Llamasoft,England
Uncharted: Fight for Fortune,PSVITA,Bend Studio,USA
Uncharted: Golden Abyss,PSVITA,Bend Studio,USA
Wanderjahr,PSVITA,Workyrie Game Studio,Japan
Worms Revolution Extreme,PSVITA,Team17,England
Yomawari: Night Alone,PSVITA,Nippon Ichi Software,Japan
Zero Escape: Virtue's Last Reward,PSVITA,Spike Chunsoft,Japan
