309,Broforce,2017-01-15,Free Lives,South Africa
348,Dead Island: Retro Revenge,2017-01-15,Empty Clip Studios,USA
435,Hotline Miami 2: Wrong Number,2017-01-15,Dennaton Games,Sweden
570,Rogue Legacy,2017-01-15,Cellar Door Games,Canada
603,SteamWorld Dig,2017-01-15,Image & Form,Sweden
604,SteamWorld Heist,2017-01-19,Image & Form,Sweden
612,Super Stardust Ultra,2017-01-19,Housemarque,Finland
568,Rocket League,2017-01-19,Psyonix,USA
636,The Escapists,2017-01-19,Mouldy Toof Studios,England
664,Tricky Towers,2017-01-19,WeirdBeard,Netherlands
685,Unravel,2017-01-19,Coldwood Interactive,Sweden
512,Nitroplus Blasterz: Heroines Infinite Duel,2017-01-19,Team Arcana,Japan
480,LUMO,2017-01-19,Just Add Water Ltd,England
375,Enter The Gungeon,2017-01-19,Dodge Roll,USA
279,Amplitude,2017-01-19,Harmonix Music Systems,USA
274,Absolute Drift: Zen Edition,2017-01-31,FlippFly,USA
277,Active Soccer 2 DX,2017-01-31,The Fox Software,Italy
351,Deadpool,2017-01-31,High Moon Studios,USA
370,Downwell,2017-01-31,Moppin,Japan
257,Street Fighter X Tekken,2017-01-31,Sucker Punch Productions,USA
448,Jetpack Joyride,2017-01-31,Halfbrick Studios,Australia
419,Grim Fandango Remastered,2017-02-12,LucasArts,USA
72,Ape Escape,2017-02-12,Team Asobi (Japan Studio),Japan
78,Final Fantasy,2017-02-18,Square Enix,Japan
79,Final Fantasy II,2017-02-18,Square Enix,Japan
80,Final Fantasy III,2017-02-18,Square Enix,Japan
81,Final Fantasy IV,2017-02-18,Square Enix,Japan
16,Final Fantasy V,2017-02-18,Square Enix,Japan
17,Final Fantasy VI,2017-02-18,Square Enix,Japan
19,Final Fantasy VIII,2017-02-18,Square Enix,Japan
20,Final Fantasy IX,2017-02-18,Square Enix,Japan
516,OlliOlli: Epic Combo Edition,2017-02-25,Roll7,England
517,OlliOlli 2,2017-02-25,Roll7,England
634,The Crew,2017-02-25,Ivory Tower,France
610,Super Meat Boy!,2017-02-25,Team Meat,USA
53,Tomb Raider (1996),2017-03-12,Core Design,England
54,Tomb Raider II,2017-03-12,Core Design,England
55,Tomb Raider III,2017-03-12,Core Design,England
56,Tomb Raider: Chronicles,2017-03-12,Core Design,England
57,Tomb Raider: The Last Revelation,2017-03-12,Core Design,England
