484,Neon Chrome,PS4,10tons,Finland
596,Tennis in the Face,PS4,10tons,Finland
670,Xenoraid,PS4,10tons,Finland
153,Mafia II,PS3,2K Czech,Czech Republic
796,Heavenly Bodies,PS5,2pt Interactive,Australia
118,Duke Nukem Forever,PS3,3D Realms,Denmark
474,Metro Redux,PS4,4A Games,Ukraine
813,Metro Exodus,PS5,4A Games,Ukraine
552,Scribblenauts Mega Pack,PS4,5th Cell,USA
35,Rally Cross,PS1,989 Studios,USA
242,Gunslugs,PSVITA,Abstraction Games,Netherlands
246,No Heroes Allowed: No Puzzles Either!,PSVITA,ACQUIRE Corp,Japan
412,Heart&Slash,PS4,aheartfulofgames,Spain
179,Quantum Conundrum,PS3,Airtight Games,USA
881,Breaking Enigma,PS4,Alphanu Game Studios,England
154,Malicious,PS3,Alvion,Japan
342,Dead End Job,PS4,Ant Workshop,Scotland
631,Touhou Double Focus,PS4,Aqua Style,Japan
404,Granblue Fantasy: Versus,PS4,Arc System Works,Japan
115,Dishonored,PS3,Arkane Studios,France
414,Helldivers,PS4,Arrowhead Game Studios,Sweden
30,Monsters Inc Scare Island,PS1,Artificial Mind and Movement,Canada
166,Naughty Bear,PS3,Artificial Mind and Movement,Canada
478,Monopoly Family Fun Pack,PS4,Asobo Studio,France
755,A Plague Tale: Innocence,PS5,Asobo Studio,France
458,Lovers In A Dangerous Spacetime,PS4,Asteroid Base,Canada
504,Persona 5,PS4,Atlus,Japan
315,Catherine: Full Body,PS4,Atlus,Japan
588,Switch Galaxy Ultra,PS4,Atomicom,England
798,Hogwarts Legacy,PS5,Avalanche Software,USA
882,Tchia,PS5,Awaceb,France
603,The Bug Butcher,PS4,Awfully Nice Studios,Austria
546,Saban`s Mighty Morphin Power Rangers: Mega Battle,PS4,Bamtang Games,Peru
563,SoulCalibur VI,PS4,Bandai Namco Studios,Japan
594,Tekken 7,PS4,Bandai Namco Studios,Japan
323,Code Vein,PS4,Bandai Namco Studios,Japan
438,Katamari Damacy: Reroll,PS4,Bandai Namco Studios,Japan
208,Tales of Grace f,PS3,Bandai Namco Studios,Japan
209,Tales of Xillia,PS3,Bandai Namco Studios,Japan
210,Tekken 5: Dark Resurrection,PS3,Bandai Namco Studios,Japan
211,Tekken Revolution,PS3,Bandai Namco Studios,Japan
26,Klonoa: Door to Phantomile (1997),PS1,Bandai Namco Studios,Japan
49,Tekken,PS1,Bandai Namco Studios,Japan
50,Tekken 2,PS1,Bandai Namco Studios,Japan
808,Klonoa Phantasy Reverie Series (2022),PS5,Bandai Namco Studios,Japan
579,Stranded Deep,PS4,Beam Team Games,Australia
689,Beat Saber,PSVR,Beat Games,Czech Republic
329,Crash Team Racing: Nitro Fueled (2019),PS4,Beenox,Canada
212,The Amazing Spider-Man,PS3,Beenox,Canada
865,Meet Your Maker,PS5,Behaviour Interactive,Canada
359,Donut County,PS4,Ben Esposito,USA
341,Days Gone,PS4,Bend Studio,USA
262,Uncharted: Fight for Fortune,PSVITA,Bend Studio,USA
263,Uncharted: Golden Abyss,PSVITA,Bend Studio,USA
48,Syphon Filter,PS1,Bend Studio,USA
92,Resistance: Retribution,PSP,Bend Studio,USA
418,Home,PS4,Benjamin Rivers Inc,Canada
326,Cosmophony,PS4,Bento Studio,France
374,Fallout 4,PS4,Bethesda Game Studios,USA
731,Skyrim VR,PSVR,Bethesda Game Studios,USA
597,Tennis World Tour 2,PS4,Big Ant Studios,Australia
586,Supermarket Shriek,PS4,Billy Goat Entertainment Ltd,Northern Ireland
545,Rollercoaster Dreams,PS4,Bimboosoft,Japan
697,Dream Match Tennis VR,PSVR,Bimboosoft,Japan
466,Mass Effect: Legendary Edition,PS4,Bioware,Canada
747,Ultrawings,PSVR,Bit Planet Games,USA
106,Blur,PS3,Bizarre Creations,England
351,Destroy All Humans! (2020),PS4,Black Forest Games,Germany
778,Destroy All Humans 2: Reprobed (2022),PS5,Black Forest Games,Germany
797,Hell Let Loose,PS5,Black Matter Games,Australia
298,BioShock 1 & 2: The Collection,PS4,Blind Squirrel Games,USA
299,BioShock Infinite: The Collection,PS4,Blind Squirrel Games,USA
237,Deathmatch Village,PSVITA,Bloober Team,Poland
