1,A Bugs Life,PS1,2017-05-22,1.49,1.49,0.00,TT Games,England
2,Beyblade: Let It Rip!,PS1,2020-02-21,4.99,0.00,4.99,Crave,Japan
3,Bishi Bashi Special,PS1,2018-09-30,4.99,4.99,0.00,Konami,Japan
4,Buzz Lightyear of Star Command,PS1,2017-05-22,1.99,1.99,0.00,TT Games,England
5,Cho Aniki,PS1,2018-09-30,4.99,4.99,0.00,Masaya,Japan
6,Colin McRae Rally,PS1,2010-12-26,9.99,9.99,0.00,Codemasters,England
7,Crash Bandicoot (1996),PS1,2011-01-14,4.99,4.99,0.00,Naughty Dog,USA
8,Crash Bandicoot 2 (1997),PS1,2011-02-05,4.99,4.99,0.00,Naughty Dog,USA
9,Crash Bandicoot 3 (1998),PS1,2011-02-09,4.99,4.99,0.00,Naughty Dog,USA
10,Crash Team Racing (1999),PS1,2011-02-09,4.99,4.99,0.00,Naughty Dog,USA
11,Crash Bash,PS1,2010-12-26,9.99,9.99,0.00,Eurocom Entertainment Software,England
12,Destruction Derby,PS1,2017-10-06,4.99,2.99,2.00,Reflections Interactive,England
13,Driver,PS1,2015-08-02,2.49,2.49,0.00,Reflections Interactive,England
14,Fear Effect,PS1,2021-04-14,6.99,6.99,0.00,Kronos Digital Entertainment,USA
15,Fear Effect 2: Retro Helix,PS1,2021-04-14,6.99,6.99,0.00,Kronos Digital Entertainment,USA
16,Final Fantasy V,PS1,2017-02-18,9.99,4.99,5.00,Square Enix,Japan
17,Final Fantasy VI,PS1,2017-02-18,9.99,4.99,5.00,Square Enix,Japan
18,Final Fantasy VII (1997),PS1,2013-10-25,9.99,4.99,5.00,Square Enix,Japan
19,Final Fantasy VIII,PS1,2017-02-18,9.99,4.99,5.00,Square Enix,Japan
20,Final Fantasy IX,PS1,2017-02-18,9.99,4.99,5.00,Square Enix,Japan
21,Gex,PS1,2015-10-02,4.99,2.50,2.49,Crystal Dynamics,USA
22,Gex 3D: Enter the Gecko,PS1,2015-10-02,5.99,3.00,2.99,Crystal Dynamics,USA
23,Gex: Deep Cover Gecko,PS1,2015-10-02,5.99,3.00,2.99,Crystal Dynamics,USA
24,Hercules,PS1,2016-10-12,1.99,1.99,0.00,Eurocom Entertainment Software,England
25,Hogs of War,PS1,2010-12-26,9.99,9.99,0.00,Infogrames Sheffield,England
26,Jumping Flash,PS1,2018-09-30,4.99,4.99,0.00,Team Asobi (Japan Studio),Japan
27,Klonoa: Door to Phantomile (1997),PS1,2015-10-02,4.99,2.50,2.49,Bandai Namco Studios,Japan
28,Kula World,PS1,2011-09-08,4.99,4.99,0.00,Game Design Sweden AB,Sweden
29,Medievil (1998),PS1,2013-10-04,4.99,4.99,0.00,Guerrilla Cambridge,England
30,Metal Gear Solid,PS1,2012-12-18,9.99,4.99,5.00,Kojima Productions,Japan
31,Monsters Inc Scare Island,PS1,2017-05-22,1.49,1.49,0.00,Artificial Mind and Movement,Canada
32,Motor Toon Grand Prix 2,PS1,2017-10-06,4.99,2.49,2.50,Polyphony Digital,Japan
33,Oddworld: Abes Oddysee (1997),PS1,2010-12-26,4.99,4.99,0.00,Oddworld Inhabitants,USA
34,Oddworld: Abes Exoddus (1998),PS1,2011-06-02,4.99,4.99,0.00,Oddworld Inhabitants,USA
35,PONG,PS1,2013-10-21,4.99,4.99,0.00,Supersonic Software,England
36,Rally Cross,PS1,2017-10-06,4.99,1.99,3.00,989 Studios,USA
37,Rayman,PS1,2014-05-04,4.99,4.99,0.00,Ubisoft Montpellier,France
38,Rayman 2,PS1,2014-05-04,4.99,4.99,0.00,Ubisoft Shanghai,China
39,Resident Evil: Directors Cut (1997),PS1,2016-10-22,9.99,3.99,6.00,Capcom,Japan
40,Resident Evil 2 (1998),PS1,2017-05-20,9.99,3.99,6.00,Capcom,Japan
41,Resident Evil 3: Nemesis (1999),PS1,2016-10-22,9.99,3.99,6.00,Capcom,Japan
42,Sheep Dog n Wolf,PS1,2010-12-26,9.99,9.99,0.00,Infogrames Lyon House,France
43,Silent Hill,PS1,2017-03-18,6.99,2.99,4.00,Konami,Japan
44,Spyro the Dragon (1998),PS1,2014-02-14,3.99,3.99,0.00,Insomniac Games,USA
45,Spyro 2: Gateway to Glimmer (1999),PS1,2014-02-14,3.00,3.00,0.00,Insomniac Games,USA
46,Spyro 3: Year of the Dragon (2000),PS1,2014-02-14,3.00,3.00,0.00,Insomniac Games,USA
47,Suikoden,PS1,2021-04-14,4.99,4.99,0.00,Konami,Japan
48,Suikoden II,PS1,2021-04-14,4.99,4.99,0.00,Konami,Japan
49,Syphon Filter,PS1,2017-10-06,4.99,2.49,2.50,Bend Studio,USA
50,Tekken,PS1,2012-12-19,4.99,4.99,0.00,Bandai Namco Studios,Japan
51,Tekken 2,PS1,2012-12-18,4.99,4.99,0.00,Bandai Namco Studios,Japan
52,Theme Hospital,PS1,2011-06-02,4.99,4.99,0.00,Krisalis Software,England
53,Tomb Raider (1996),PS1,2017-03-12,5.99,1.99,4.00,Core Design,England
54,Tomb Raider II,PS1,2017-03-12,5.99,1.99,4.00,Core Design,England
55,Tomb Raider III,PS1,2017-03-12,5.99,1.99,4.00,Core Design,England
56,Tomb Raider: Chronicles,PS1,2017-03-12,5.99,1.99,4.00,Core Design,England
57,Tomb Raider: The Last Revelation,PS1,2017-03-12,5.99,1.99,4.00,Core Design,England
58,Tombi!,PS1,2013-10-21,7.99,4.99,3.00,Whoopee Camp,Japan
59,Tombi 2!: The Evil Swine Return,PS1,2018-09-30,7.99,7.99,0.00,Whoopee Camp,Japan
60,Toy Story 2,PS1,2016-10-10,1.99,1.99,0.00,TT Games,England
61,Toy Story Racer,PS1,2017-05-22,1.99,1.99,0.00,TT Games,England
62,Twisted Metal (1995),PS1,2017-10-06,4.99,1.99,3.00,SingleTrac,USA
63,UmJammer Lammy,PS1,2017-10-06,4.99,4.99,0.00,NanaOn-Sha,Japan
64,Vib-Ribbon,PS1,2017-10-06,4.99,1.99,3.00,NanaOn-Sha,Japan
65,Wipeout (1995),PS1,2017-10-06,9.99,1.99,8.00,Psygnosis,England
66,WWF! Smackdown 2: Know Your Role,PS1,2010-12-26,9.99,9.99,0.00,Yuke`s,Japan
67,Deus Ex (2002),PS2,2021-04-14,9.99,9.99,0.00,Ion Storm,USA
68,Sonic Heroes,PS2,2013-10-31,9.99,9.99,0.00,SEGA,Japan
69,Stuntman: Ignition,PS2,2021-04-14,9.99,9.99,0.00,Paradigm Entertainment,USA
70,The Sims,PS2,2013-10-31,14.99,14.99,0.00,Maxis,USA
