165,Motorstorm: Pacific Rift,2010-05-04,5.00,5.00,0.00
127,Fat Princess,2013-05-10,9.99,9.99,0.00
37,Rayman,2014-05-04,4.99,4.99,0.00
38,Rayman 2,2014-05-04,4.99,4.99,0.00
349,Dead or Alive 5: Last Round,2017-05-04,59.98,33.98,26.00
432,HoPiKo,2017-05-04,6.99,1.99,5.00
545,Quest Of Dungeons,2017-05-04,8.99,3.99,5.00
632,The Bug Butcher,2017-05-04,9.99,4.99,5.00
673,Typoman,2017-05-04,9.99,6.99,3.00
645,The Swapper,2017-05-20,14.99,3.99,11.00
613,Superbeat: Xonic EX,2017-05-20,49.98,12.98,37.00
479,Lovers In A Dangerous Spacetime,2017-05-20,14.99,4.99,10.00
421,Hatoful Boyfriend,2017-05-20,9.99,2.99,7.00
320,Cel Damage HD,2017-05-20,13.98,7.98,6.00
40,Resident Evil 2 (1998),2017-05-20,9.99,3.99,6.00
61,Toy Story Racer,2017-05-22,1.99,1.99,0.00
1,A Bugs Life,2017-05-22,1.49,1.49,0.00
4,Buzz Lightyear of Star Command,2017-05-22,1.99,1.99,0.00
31,Monsters Inc Scare Island,2017-05-22,1.49,1.49,0.00
608,Street Fighter 30th Anniversary Collection,2018-05-29,39.99,14.79,25.20
313,Burnout Paradise: Remastered,2019-05-06,39.98,9.99,29.99
780,VR Karts,2019-05-30,24.99,9.99,15.00
606,Stikbold! A Dodgeball Adventure,2020-05-13,9.99,4.49,5.50
533,Plants vs Zombies: Battle for Neighborville,2020-05-13,39.99,24.99,15.00
638,The Flame in the Flood,2020-05-13,14.99,4.49,10.50
792,Astro`s Playroom,2021-05-16,0.00,0.00,0.00
826,FIFA 21,2021-05-18,89.99,24.29,65.70
832,Genshin Impact,2021-05-18,0.00,0.00,69.99
902,Subnautica,2021-05-18,29.99,0.00,29.99
295,Battlefield 1: Revolution,2021-05-18,19.99,0.00,19.99
345,Days Gone,2021-05-18,69.99,0.00,69.99
410,God of War (2018),2021-05-18,19.99,0.00,19.99
500,Monster Hunter World: Iceborne,2021-05-18,19.99,0.00,19.99
502,Mortal Kombat X,2021-05-18,19.99,0.00,19.99
358,Detroit: Become Human,2021-05-18,29.99,0.00,29.99
393,Final Fantasy XV: Royal Edition,2021-05-18,34.99,0.00,34.99
918,Tony Hawk`s Pro Skater 1 + 2 (2021),2021-05-18,54.99,38.49,16.50
923,Warframe: The New War,2021-05-18,0.00,0.00,0.00
928,Wreckfest,2021-05-18,29.99,0.00,29.99
927,Worms Rumble,2021-05-19,14.99,9.74,5.25
921,Twin Robots: Ultimate Edition,2021-05-19,7.99,5.99,2.00
904,Sumatra: Fate of Yandi,2021-05-19,5.99,4.19,1.80
874,One Escape,2021-05-19,4.99,3.49,1.50
888,Rogue Company,2021-05-19,0.00,0.00,0.00
607,Stranded Deep,2021-05-19,19.99,0.00,19.99
520,Outbreak: Epidemic,2021-05-19,14.99,8.24,6.75
859,Maneater,2021-05-27,39.99,19.99,20.00
800,Bugsnax,2021-05-27,21.99,16.49,5.50
899,Spirit of the North: Enhanced Edition,2021-05-27,24.99,12.49,12.50
827,FIFA 22,2022-05-03,79.99,0.00,79.99
663,Tribes of Midgard,2022-05-03,19.99,0.00,19.99
335,Curse of the Dead Gods,2022-05-03,19.99,0.00,19.99
302,BLACKSAD: Under the Skin,2022-05-27,39.99,7.99,32.00
395,Flashback,2022-05-27,19.99,0.99,19.00
400,Formula Retro Racing,2022-05-27,5.99,3.59,2.40
367,DOOM (1993),2022-05-27,4.99,2.49,2.50
368,DOOM II,2022-05-27,4.99,2.49,2.50
369,DOOM 64,2022-05-27,4.99,2.49,2.50
380,Fahrenheit (Indigo Prophecy),2022-05-27,13.49,5.39,8.10
507,Neon Drive,2022-05-27,9.99,4.99,5.00
676,Unbox: Newbie`s Adventure,2022-05-27,24.99,4.99,20.00
538,Postal Redux,2022-05-27,9.99,3.49,6.50
544,Quake,2022-05-27,9.99,4.99,5.00
589,Sniper Elite V2 Remastered,2022-05-27,34.99,3.49,31.50
759,Sam & Max: This Time It`s Virtual!,2022-05-27,19.99,13.99,6.00
762,Sniper Elite VR,2022-05-27,29.99,13.49,16.50
834,Ghostwire: Tokyo,2022-05-27,69.99,34.99,35.00
889,Rustler,2022-05-27,29.99,14.99,15.00
837,GRID Legends,2023-05-02,69.99,0.00,69.99
739,Horror Bar VR,2023-05-02,19.99,12.99,7.00
411,Godlike Burger,2023-05-02,19.99,7.99,12.00
365,Don`t Starve,2023-05-02,13.99,3.49,10.50
354,Descenders,2023-05-02,21.99,0.00,21.99
276,Action Henk,2023-05-02,14.99,1.49,13.50
920,Tunic,2023-05-04,29.99,0.00,29.99
867,New Tales from the Borderlands,2023-05-12,39.99,19.99,20.00
696,Wolfenstein: The New Order,2023-05-12,19.99,3.50,16.49
697,Wolfenstein: The Old Blood,2023-05-12,19.99,3.50,16.49
698,Wolfenstein II: The New Colossus,2023-05-12,39.99,3.50,36.49
699,Wolfenstein: Youngblood,2023-05-12,19.99,3.49,16.50
670,Turnip Boy Commits Tax Evasion,2023-05-12,14.99,11.24,3.75
828,FIFA 23,2023-05-24,79.99,31.99,48.00
307,Breaking Enigma,2023-05-24,10.99,0.54,10.45
