169,Need for Speed: Shift,2009-11-23,4.00,4.00,0.00
223,The Sims 3,2010-11-07,18.00,18.00,0.00
224,The Sims 3: Pets,2010-11-07,18.00,18.00,0.00
111,Crazy Machines Elements,2011-11-20,4.99,4.99,0.00
443,Jak and Daxter: The Precursor Legacy,2012-11-27,26.98,26.98,0.00
444,Jak II: Renegade,2012-11-27,24.97,24.97,0.00
445,Jak 3,2012-11-27,26.98,26.98,0.00
228,Tokyo Jungle,2013-11-21,12.99,12.99,0.00
221,The Simpsons Arcade Game,2013-11-29,9.99,9.99,0.00
76,Dead or Alive Paradise,2015-11-13,14.99,14.99,0.00
247,ModNation Racers: Road Trip,2015-11-18,14.99,14.99,0.00
688,Velocity 2X,2015-11-18,15.99,6.40,9.59
626,Terraria,2015-11-22,33.98,15.49,18.49
252,Rocketbirds: Hardboiled Chicken,2015-11-28,7.99,7.99,0.00
290,Batman Season 1 TTG,2016-11-26,19.99,19.99,0.00
82,Grand Theft Auto: Liberty City Stories,2016-11-26,11.66,4.99,6.67
83,Grand Theft Auto: Vice City Stories,2016-11-26,11.66,5.00,6.66
84,Grand Theft Auto: Chinatown Wars,2016-11-26,11.66,5.00,6.66
201,Sly Cooper and the Thievius Raccoonus,2016-11-26,8.99,1.99,7.00
202,Sly 2: Band of Thieves,2016-11-26,8.00,3.00,5.00
203,Sly 3: Honour Among Thieves,2016-11-26,8.00,3.00,5.00
438,inFamous Second Son,2016-11-26,14.99,6.99,8.00
439,inFamous First Light,2016-11-26,14.99,7.99,7.00
468,Life Is Strange,2016-11-26,16.99,5.99,11.00
334,Croixleur Sigma,2017-11-30,13.99,4.99,9.00
622,Tekken 7,2018-11-06,74.98,29.98,45.00
531,Pic-A-Pix Color,2018-11-10,7.99,3.99,4.00
598,Spyro Reignited Trilogy (2018),2018-11-13,39.99,39.99,0.00
291,Batman Season 2 TTG,2018-11-17,14.99,14.99,0.00
390,FIFA 19,2018-11-26,69.99,39.89,30.10
543,Putty Squad,2018-11-29,24.99,6.99,18.00
454,Kingdom Hearts HD 1.5 & 2.5 Remix,2019-11-17,36.99,12.10,24.89
455,Kingdom Hearts HD 2.8 Final Chapter Prologue,2019-11-17,36.99,12.10,24.89
456,Kingdom Hearts III,2019-11-17,35.99,12.09,23.90
427,Hollow Knight: Voidheart Edition,2020-11-03,14.49,0.00,14.49
278,Amnesia: Collection,2020-11-04,28.49,3.13,25.36
588,Slender: The Arrival,2020-11-04,9.99,1.49,8.50
406,Ghost of Tsushima,2020-11-22,69.99,49.69,20.30
457,Kingdoms of Amalur: Re-Reckoning,2021-11-02,39.99,0.00,39.99
745,Kingdom Hearts: VR Experience,2021-11-02,0.00,0.00,0.00
771,The Walking Dead: Saints and Sinners,2021-11-02,39.99,0.00,39.99
779,Until You Fall,2021-11-02,24.99,0.00,24.99
830,First Class Trouble,2021-11-02,19.99,0.00,19.99
853,Knockout City,2021-11-02,19.99,0.00,19.99
555,Resident Evil 5,2021-11-10,19.99,7.99,12.00
557,Resident Evil 6,2021-11-10,19.99,7.99,12.00
714,Arizona Sunshine,2021-11-16,44.99,11.24,33.75
775,Traffic Jams,2021-11-17,19.99,12.99,7.00
791,Assassin`s Creed Valhalla: Ultimate Edition,2021-11-21,119.99,59.99,60.00
541,Psychonauts 2,2021-11-21,59.99,41.99,18.00
487,Mass Effect: Legendary Edition,2021-11-21,69.99,44.79,25.20
839,Heavenly Bodies,2022-11-02,20.99,0.00,20.99
869,Nioh 2,2022-11-02,59.99,0.00,59.99
875,Overcooked: All You Can Eat Edition,2022-11-04,128.44,94.85,33.59
887,Returnal,2022-11-18,79.99,39.99,40.00
891,Sackboy: A Big Adventure,2022-11-18,69.99,29.39,40.60
852,Klonoa Phantasy Reverie Series (2022),2022-11-18,49.99,29.99,20.00
861,Marvel`s Spider-Man: Miles Morales,2022-11-18,59.99,29.99,30.00
817,Disney Dreamlight Valley,2022-11-18,29.99,23.99,6.00
901,Stray,2022-11-24,29.99,18.99,11.00
788,Aliens: Fireteam Elite,2023-11-07,29.99,0.00,29.99
806,Coffee Talk,2023-11-26,13.99,13.99,0.00
807,Coffee Talk Episode 2: Hibiscus and Butterfly,2023-11-26,14.99,10.49,4.50
346,de Blob,2023-11-26,19.99,3.99,16.00
428,Holy Potatoes! A Weapon Shop?!,2023-11-26,14.99,1.49,13.50
429,Holy Potatoes! We`re in Space?!,2023-11-26,14.99,1.49,13.50
430,Holy Potatoes! What the Hell?!,2023-11-26,14.99,1.49,13.50
312,Bud Spencer & Terence Hill - Slaps and Beans,2023-11-26,19.99,3.99,16.00
