Game,FullPrice,SalePrice,Savings
Ape Escape,€7.99,€7.99,€0.00
Burnout Legends,€9.99,€9.99,€0.00
Crazy Taxi: Fare Wars,€4.49,€4.49,€0.00
Daxter,€7.99,€2.99,€5.00
Dead or Alive Paradise,€14.99,€14.99,€0.00
Everybody's Golf 2,€7.99,€2.99,€5.00
Final Fantasy,€9.99,€4.99,€5.00
Final Fantasy II,€9.99,€4.99,€5.00
Final Fantasy III,€9.99,€4.99,€5.00
Final Fantasy IV,€14.99,€7.49,€7.50
Grand Theft Auto: Chinatown Wars,€11.66,€5.00,€6.66
Grand Theft Auto: Liberty City Stories,€11.66,€4.99,€6.67
Grand Theft Auto: Vice City Stories,€11.66,€5.00,€6.66
Gravity Crash,€3.99,€3.99,€0.00
Jak and Daxter: The Lost Frontier,€7.99,€3.99,€4.00
LEGO Batman,€9.99,€0.00,€9.99
LEGO Indiana Jones,€9.99,€0.00,€9.99
LEGO Pirates of the Caribbean,€4.99,€0.00,€4.99
LEGO Star Wars III: The Clone Wars,€4.99,€0.00,€4.99
Prinny,€9.99,€9.99,€0.00
Ratchet & Clank: Size Matters,€7.99,€4.00,€3.99
Resistance: Retribution,€7.99,€2.99,€5.00
Super Monkey Ball Adventure,€4.49,€4.49,€0.00
Tomb Raider: Anniversary,€9.99,€3.99,€6.00
Tomb Raider: Legend,€9.99,€3.99,€6.00
Wipeout Pulse,€7.99,€7.99,€0.00
