Game,Console,PurchaseDate

A Plague Tale: Innocence,PS5,17/01/2021
Apex Legends,PS5,19/12/2022
Art of Rally,PS5,03/03/2022
Assassin's Creed Valhalla: Ultimate Edition,PS5,21/11/2021
Astro's Playroom,PS5,16/05/2021
AWAY: The Survival Series,PS5,28/09/2021
Axiom Verge 2,PS5,03/01/2023
Battlefield 2042,PS5,07/03/2023
Biomutant,PS5,09/09/2022
BloodRayne: ReVamped,PS5,20/03/2022
BloodRayne 2: ReVamped,PS5,20/03/2022
Borderlands 3,PS5,13/09/2019
Bugsnax,PS5,27/05/2021
Can't Drive This,PS5,08/06/2022
Chicken Police: Paint It Red,PS5,15/04/2022
Chicory: A Colorful Tale,PS5,03/07/2022
Cloudpunk,PS5,23/08/2022
Concept Destruction,PS5,04/06/2021
Crash Bandicoot 4: It's About Time,PS5,01/10/2020
Cult of the Lamb,PS5,30/10/2022
Cyberpunk 2077,PS5,15/02/2022
Deep Rock Galactic,PS5,04/01/2022
Destiny 2,PS5,07/02/2023
Destroy All Humans 2: Reprobed (2022),PS5,07/09/2022
DIRT 5,PS5,04/01/2022
Disney Dreamlight Valley,PS5,18/11/2022
Evil Inside,PS5,04/06/2021
F1 2021,PS5,07/09/2021
F1 Manager,PS5,27/12/2022
Fall Guys: Ultimate Knockout,PS5,19/12/2022
Far Cry 6: Gold Edition,PS5,02/02/2022
FIFA 21,PS5,18/05/2021
FIFA 22,PS5,03/05/2022
Final Fantasy VII (2021),PS5,03/08/2022
First Class Trouble,PS5,02/11/2021
Fortnite,PS5,13/01/2022
Genshin Impact,PS5,18/05/2021
Ghostrunner,PS5,01/03/2022
Ghostwire: Tokyo,PS5,27/05/2022
Godfall,PS5,09/12/2021
Grand Theft Auto V,PS5,20/03/2022
Heavenly Bodies,PS5,02/11/2022
Hell Let Loose,PS5,05/10/2021
Hogwarts Legacy,PS5,07/02/2023
Horizon Forbidden West,PS5,28/12/2022
Hot Wheels Unleashed,PS5,05/10/2022
Human Fall Flat,PS5,07/08/2017
In Rays of the Light,PS5,04/06/2021
Infliction: Extended Cut,PS5,04/06/2021
It Takes Two,PS5,06/01/2022
Judgment,PS5,26/02/2023
Kena: Bridge of Spirits,PS5,25/12/2021
Kerbal Space Program: Enhanced Edition,PS5,24/03/2019
Klonoa Phantasy Reverie Series (2022),PS5,18/11/2022
Knockout City,PS5,02/11/2021
Maneater,PS5,27/05/2021
Maquette,PS5,04/06/2021
Marvel's Spider-Man: Miles Morales,PS5,18/11/2022
Metro Exodus,PS5,28/07/2021
Nickelodeon All Stars Brawl,PS5,08/06/2022
Nioh 2,PS5,02/11/2022
No Man's Sky,PS5,02/06/2021
Oddworld: Soulstorm (2021),PS5,06/04/2021
OlliOlli World,PS5,28/12/2022
One Escape,PS5,19/05/2021
Overcooked: All You Can Eat Edition,PS5,04/05/2017
Ovivo,PS5,04/06/2021
Planet Coaster,PS5,01/02/2022
Potion Permit,PS5,26/12/2022
Ratchet & Clank: Rift Apart,PS5,25/12/2021
Resident Evil 2 (2019),PS5,27/09/2022
Resident Evil 3 (2020),PS5,27/09/2022
Resident Evil 7: Biohazard,PS5,27/09/2022
Resident Evil Village,PS5,20/10/2021
Returnal,PS5,18/11/2022
Rogue Company,PS5,19/05/2021
Rustler,PS5,27/05/2022
Sackboy: A Big Adventure,PS5,18/11/2022
Saints Row The Third: Remastered,PS5,22/07/2020
Shantae and The Pirate's Curse,PS5,30/10/2022
Shing!,PS5,21/07/2021
Sir Lovelot,PS5,04/06/2021
Sonic Origins,PS5,13/09/2022
Spacebase Startopia,PS5,21/07/2021
Spirit of the North: Enhanced Edition,PS5,27/05/2021
Star Wars Jedi: Fallen Order,PS5,02/02/2022
Stray,PS5,24/11/2022
Subnautica,PS5,06/04/2021
Subnautica: Below Zero,PS5,30/09/2021
Sumatra: Fate of Yandi,PS5,19/05/2021
Terminator: Resistance Enhanced,PS5,16/09/2021
The Darkside Detective,PS5,21/07/2021
The Darkside Detective: A Fumble in the Dark,PS5,20/10/2022
The Pedestrian,PS5,02/06/2021
The Persistence,PS5,29/01/2022
The Sinking City,PS5,21/07/2021
The Stanley Parable: Ultra Deluxe,PS5,03/08/2022
The Witcher 3: Wild Hunt,PS5,14/12/2022
Tiny Tina's Wonderlands: Chaotic Great Edition,PS5,03/02/2023
TOEM,PS5,07/09/2022
Tony Hawk's Pro Skater 1 + 2 (2021),PS5,22/11/2020
Twin Robots: Ultimate Edition,PS5,19/05/2021
Warframe: The New War,PS5,18/05/2021
Watch Dogs: Legion,PS5,02/06/2021
Worms Rumble,PS5,19/05/2021
Wreckfest,PS5,18/05/2021
Yakuza: Like a Dragon,PS5,09/06/2021
