Game,FullPrice,SalePrice,Savings
[Prototype],€24.99,€7.99,€17.00
[Prototype 2],€24.99,€7.99,€17.00
101 Ways To Die,€9.99,€4.99,€5.00
60 Seconds! Reatomized,€9.99,€0.00,€9.99
A Boy And His Blob,€9.99,€3.99,€6.00
Absolute Drift: Zen Edition,€11.99,€7.99,€4.00
Abzu,€19.99,€0.00,€19.99
Active Soccer 2 DX,€9.99,€6.99,€3.00
Amnesia: Collection,€28.49,€3.13,€25.36
Amplitude,€19.99,€9.99,€10.00
Another World,€7.99,€2.99,€5.00
Ape Escape 2,€9.99,€3.99,€6.00
Ark: Survival Evolved,€29.99,€0.00,€29.99
Armello,€19.99,€7.99,€12.00
Armikrog,€9.99,€1.99,€8.00
Art Of Balance,€8.99,€2.99,€6.00
Assault Android Cactus,€14.49,€3.99,€10.50
Aven Colony,€29.99,€14.99,€15.00
Back To The Future TTG,€12.98,€12.98,€0.00
Badland,€11.99,€4.99,€7.00
Batman Season 1 TTG,€19.99,€19.99,€0.00
Batman Season 2 TTG,€14.99,€14.99,€0.00
Batman: Arkham Asylum,€19.99,€7.99,€12.00
Batman: Arkham City,€19.99,€7.99,€12.00
Batman: Arkham Knight,€19.99,€7.99,€12.00
Battlefield 1: Revolution,€19.99,€0.00,€19.99
Bear With Me,€14.99,€7.49,€7.50
Beat Cop,€14.99,€1.49,€13.50
Beyond Eyes,€12.99,€3.99,€9.00
Beyond Two Souls,€19.99,€5.99,€14.00
BioShock 1 & 2: The Collection,€24.99,€9.99,€15.00
BioShock Infinite: The Collection,€24.99,€9.99,€15.00
BLACKSAD: Under the Skin,€39.99,€7.99,€32.00
Blood Bowl 2,€19.99,€7.49,€12.50
Bloodborne,€34.99,€18.24,€16.75
Borderlands: Game of the Year Edition,€29.99,€29.99,€0.00
Borderlands: The Handsome Collection,€109.98,€62.98,€47.00
Bridge Constructor,€9.99,€3.99,€6.00
Broforce,€14.99,€4.99,€10.00
Broken Age,€14.99,€6.99,€8.00
Brothers: A Tale of Two Sons,€19.99,€4.99,€15.00
Canis Canem Edit) (Bully),€23.98,€15.98,€8.00
Burnout Paradise: Remastered,€39.98,€9.99,€29.99
Call of Duty: Black Ops III,€69.99,€0.00,€69.99
Captain Tsubasa: Rise of New Champions,€59.99,€19.79,€40.20
Castle Crashers: Remastered,€30.98,€30.98,€0.00
Castlevania Requiem: Symphony of the Night and Rondo of Blood,€29.98,€8.99,€20.99
Catherine: Full Body,€79.98,€79.98,€0.00
Cel Damage HD,€13.98,€7.98,€6.00
Celeste,€19.99,€11.99,€8.00
Child Of Light,€14.99,€4.99,€10.00
Chime Sharp,€9.99,€2.99,€7.00
Cities: Skylines,€139.98,€84.98,€55.00
Claire,€16.99,€4.99,€12.00
ClusterTruck,€14.99,€4.49,€10.50
Code Vein,€69.99,€0.00,€69.99
Color Slayer,€1.99,€1.99,€0.00
Concrete Genie,€29.99,€23.99,€6.00
Cosmophony,€4.99,€1.99,€3.00
CounterSpy,€12.99,€3.99,€9.00
Crash Bandicoot N Sane Trilogy (2017),€39.99,€39.99,€0.00
Crash Team Racing: Nitro Fueled (2019),€59.99,€59.99,€0.00
Croixleur Sigma,€13.99,€4.99,€9.00
Curse of the Dead Gods,€19.99,€0.00,€19.99
Danger Zone,€10.99,€2.99,€8.00
Dangerous Driving,€29.99,€7.49,€22.50
Dangerous Golf,€7.99,€2.99,€5.00
Dark Chronicle,€14.99,€14.99,€0.00
Dark Cloud,€14.99,€8.99,€6.00
Dark Souls II: Scholar of the First Sin,€19.99,€9.99,€10.00
Dark Souls III,€49.99,€11.99,€38.00
Dark Souls Remastered,€39.99,€14.79,€25.20
Day Of The Tentacle Remastered,€14.99,€4.74,€10.25
Days Gone,€69.99,€0.00,€69.99
Dead End Job,€14.99,€2.99,€12.00
Dead Island: Retro Revenge,€4.99,€2.99,€2.00
Dead or Alive 5: Last Round,€59.98,€33.98,€26.00
Dead Rising,€19.99,€4.99,€15.00
Deadpool,€39.99,€19.99,€20.00
Death Squared,€13.99,€6.99,€7.00
DEEEER Simulator: Your Average Everyday Deer Game,€16.99,€13.59,€3.40
Destroy All Humans! (2005),€19.99,€7.99,€12.00
Destroy All Humans! 2 (2006),€19.99,€7.99,€12.00
Destroy All Humans! (2020),€39.99,€31.99,€8.00
Detroit: Become Human,€29.99,€0.00,€29.99
Devil May Cry 4,€22.99,€10.99,€12.00
Devil May Cry 5,€49.99,€44.99,€5.00
Devil May Cry Trilogy HD Collection,€21.99,€10.99,€11.00
Dex,€19.99,€9.99,€10.00
Disney Classic Games: Aladdin & The Lion King,€34.99,€34.99,€0.00
Doki-Doki Universe,€7.49,€1.99,€5.50
Donut County,€12.99,€6.49,€6.50
Doom (1993),€4.99,€2.49,€2.50
Doom 64,€4.99,€2.49,€2.50
Doom II,€4.99,€2.49,€2.50
Downwell,€4.99,€1.99,€3.00
DreamBall,€5.99,€5.99,€0.00
Dreams,€39.99,€29.99,€10.00
Duke Nukem 3D,€22.98,€8.98,€14.00
Empire of Sin: Deluxe Edition,€49.99,€12.49,€37.50
Enter The Gungeon,€14.99,€7.49,€7.50
Entwined,€7.99,€1.99,€6.00
Escape Plan,€19.99,€19.99,€0.00
Everybody's Golf (2017),€75.93,€55.93,€20.00
Exit the Gungeon,€9.99,€6.99,€3.00
Fahrenheit (Indigo Prophecy),€13.49,€5.39,€8.10
Fallout 4,€19.99,€12.99,€7.00
Far Cry 3,€29.99,€17.99,€12.00
Far Cry 4,€24.99,€7.99,€17.00
Far Cry 5,€99.98,€49.98,€50.00
Far Cry: New Dawn,€54.99,€27.49,€27.50
Far Cry: Primal,€24.99,€7.99,€17.00
Fat Princess Adventures,€19.99,€9.99,€10.00
Fez,€9.99,€1.99,€8.00
FIFA 18,€69.99,€69.99,€0.00
FIFA 19,€69.99,€39.89,€30.10
FIFA 20,€69.99,€27.99,€42.00
Final Fantasy X/X-2 HD Remaster,€29.99,€14.99,€15.00
Final Fantasy XV: Royal Edition,€34.99,€0.00,€34.99
Five Dates,€11.66,€5.83,€5.83
Flashback,€19.99,€0.99,€19.00
Flockers,€24.99,€4.99,€20.00
flOw,€4.99,€1.99,€3.00
Flower,€7.99,€1.99,€6.00
forma.8,€9.99,€2.99,€7.00
Formula Retro Racing,€5.99,€3.59,€2.40
Futuridium,€9.99,€2.99,€7.00
Game Of Thrones TTG,€14.99,€14.99,€0.00
Geometry Wars 3: Dimensions Evolved,€14.99,€3.99,€11.00
Ghost Blade HD,€8.99,€3.99,€5.00
Ghost of Tsushima,€69.99,€49.69,€20.30
Ghostbusters,€29.99,€7.99,€22.00
Goat Simulator,€31.95,€18.55,€13.40
God of War (2018),€19.99,€0.00,€19.99
God of War III Remastered,€19.99,€9.99,€10.00
Good Dog Bad Dog,€16.99,€0.00,€16.99
Granblue Fantasy: Versus,€19.99,€0.00,€19.99
Grand Ages: Medieval,€39.99,€3.99,€36.00
Grand Theft Auto III (2001),€10.99,€5.99,€5.00
Grand Theft Auto: San Andreas (2004),€12.00,€7.00,€5.00
Grand Theft Auto: Vice City (2002),€12.00,€7.00,€5.00
Grim Fandango Remastered,€14.99,€3.99,€11.00
Harvest Moon: A Wonderful Life,€14.99,€4.99,€10.00
Hatoful Boyfriend,€9.99,€2.99,€7.00
Heart&Slash,€19.99,€3.99,€16.00
Heavy Rain,€22.99,€8.99,€14.00
Helldivers,€29.99,€29.99,€0.00
Hitman 2,€69.99,€0.00,€69.99
Hohokum,€12.99,€3.99,€9.00
Hollow Knight: Voidheart Edition,€14.49,€0.00,€14.49
Home,€4.99,€1.99,€3.00
HoPiKo,€6.99,€1.99,€5.00
Horizon Zero Dawn,€34.98,€27.98,€7.00
