Game,Console,Developer,Country
Alice: Madness Returns,PS3,Spicy Horse,China
Angry Birds Trilogy,PS3,Rovio Entertainment,Finland
Army of Two,PS3,EA Montreal,Canada
Bang Bang Racing,PS3,Playbox,Hungary
Battlefield 3,PS3,DICE,Sweden
Bayonetta,PS3,PlatinumGames,Japan
Beat Hazard Ultra,PS3,Cold Beam Games,England
Bentley's Hackpack,PS3,Sanzaru Games,USA
Beyond Good and Evil HD,PS3,Ubisoft Montpellier,France
Blur,PS3,Bizarre Creations,England
Brink,PS3,Splash Damage,England
Buzz! Quiz World,PS3,Relentless Software,England
Call of Duty: Modern Warfare 2 (2009),PS3,Infinity Ward,USA
Crazy Machines Elements,PS3,FAKT Software,Germany
Daytona USA,PS3,Sega,Japan
Dead Rising 2,PS3,Capcom Vancouver,Canada
Dead Space (2008),PS3,EA Redwood Shores,USA
Deus Ex: Human Revolution,PS3,Eidos Montreal,Canada
Dishonored,PS3,Arkane Studios,France
DJ Hero,PS3,Ubisoft Leamington,England
DJ Hero 2,PS3,Ubisoft Leamington,England
Duke Nukem Forever,PS3,3D Realms,Denmark
Earthworm Jim HD,PS3,Gameloft,France
F.E.A.R,PS3,Monolith Productions,USA
F1 Race Stars,PS3,Codemasters,England
Family Guy: Back to the Multiverse,PS3,Heavy Iron Studios,USA
Far Cry 2,PS3,Ubisoft Montreal,Canada
Far Cry Classic,PS3,Crytek,Germany
Fat Princess,PS3,Titan Studios,USA
FIFA Street (2012),PS3,EA Vancouver,Canada
Fight Night Champion,PS3,EA Vancouver,Canada
Final Exam,PS3,Mighty Rocket Studio,France
Final Fantasy XIII,PS3,Square Enix,Japan
Girl Fight,PS3,Kung Fu Factory,USA
God of War (2005),PS3,Santa Monica Studio,USA
God of War II (2007),PS3,Santa Monica Studio,USA
Gran Turismo 5,PS3,Polyphony Digital,Japan
Grand Theft Auto IV: The Complete Collection,PS3,Rockstar North,Scotland
Hitman: Absolution,PS3,IO Interactive,Denmark
ICO Classics HD,PS3,Team Asobi,Japan
inFamous,PS3,Sucker Punch Productions,USA
inFamous 2,PS3,Sucker Punch Productions,USA
inFamous: Festival of Blood,PS3,Sucker Punch Productions,USA
Jet Car Stunts,PS3,Grip Games,Czech Republic
